q_id;dataset;db_id;SQL;question;tuples;attrs;attr numerical;attr categorical;tables;numerical conditions;categorical conditions;aggr;join;distinct;group by;limit;order by;nested;like;attr num & cat;con num & cat;cells;backlinks
bird_1;bird;address;SELECT COUNT(T2.county) as county FROM state AS T1 INNER JOIN country AS T2 ON T1.abbreviation = T2.state WHERE T1.name = 'Virginia';How many counties are there in Virginia State?;1;1;1;0;2;0;2;1;1;0;0;0;0;0;0;;;1;-1
bird_2;bird;address;SELECT DISTINCT T2.zip_code FROM state AS T1 INNER JOIN country AS T2 ON T1.abbreviation = T2.state WHERE T2.county = 'NEW CASTLE' AND T1.name = 'Delaware';List all the zip codes in the county of New Castle in Delaware.;54;1;1;0;2;0;3;0;1;1;0;0;0;0;0;;;54;-1
bird_3;bird;address;SELECT SUM(T2.population_2020) as population_2020 FROM country AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T1.county = 'ARECIBO';Provide the population of Arecibo in 2020.;1;1;1;0;2;1;1;1;1;0;0;0;0;0;0;;2;1;-1
bird_4;bird;address;SELECT DISTINCT T2.state FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T1.area_code = 787;What is the state for area code of 787?;1;1;0;1;2;2;0;0;1;1;0;0;0;0;0;;;1;-1
bird_5;bird;address;SELECT T1.area_code FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T2.city = 'Bishopville' AND T2.state = 'SC';What is the area code of Bishopville, SC?;1;1;1;0;2;1;1;0;1;0;0;0;0;0;0;;2;1;-1
bird_6;bird;address;SELECT T2.county FROM state AS T1 INNER JOIN country AS T2 ON T1.abbreviation = T2.state WHERE T1.name = 'Georgia' GROUP BY T2.county;List all the counties in Georgia.;159;1;0;1;2;0;2;0;2;0;1;0;0;0;0;;;159;-1
bird_7;bird;address;SELECT T1.zip_code FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code WHERE T2.state = 'MA' GROUP BY T1.zip_code HAVING COUNT(T1.area_code) > 1;Which zip code in Massachusetts that have more than 1 area code?;399;1;1;0;2;1;1;1;1;0;1;0;0;0;0;;2;399;-1
bird_8;bird;address;SELECT T2.county, T1.area_code FROM area_code AS T1 INNER JOIN country AS T2 ON T1.zip_code = T2.zip_code WHERE T1.zip_code = 1116;Give the country and area code of the city with zip code 1116.;1;2;1;1;2;2;0;0;1;0;0;0;0;0;0;2;;2;-1
bird_9;bird;address;SELECT distinct T3.name FROM area_code AS T1 INNER JOIN zip_data AS T2 ON T1.zip_code = T2.zip_code join state as T3 on T2.state=T3.abbreviation WHERE T1.area_code = 878;Which state is area code 878 in? Give the name of the state.;1;1;0;1;3;2;2;0;2;1;0;0;0;0;0;;4;1;-1
bird_10;bird;books;SELECT T3.author_name FROM book AS T1 INNER JOIN book_author AS T2 ON T1.book_id = T2.book_id INNER JOIN author AS T3 ON T3.author_id = T2.author_id WHERE T1.title = 'The Mystery in the Rocky Mountains';Who is the author of the book The Mystery in the Rocky Mountains?;1;1;0;1;3;2;1;0;2;0;0;0;0;0;0;;3;1;-1
